id,fullName,points(2020-2021),average(2018-2021)
8475462,Radko Gudas,11,10.333333333333334
8477346,MacKenzie Weegar,36,23.0
8477986,Brandon Montour,4,12.0
8478055,Gustav Forsling,17,15.0
8478454,Noah Juulsen,1,1.3333333333333333
8478906,Markus Nutivaara,10,13.333333333333334
8479523,Lucas Carlsson,3,4.333333333333333
8480059,Max Gildon,19,23.0
8481206,John Ludvig,8,29.333333333333332
8482641,Matt Kiersted,22,17.0
8470607,Brent Seabrook,4,19.333333333333332
8474151,Ryan McDonagh,12,23.333333333333332
8474567,Zach Bogosian,4,3.6666666666666665
8475167,Victor Hedman,45,51.333333333333336
8476368,Fredrik Claesson,0,6.333333333333333
8477205,Andrej Sustr,5,2.0
8478178,Darren Raddysh,15,23.0
8478416,Erik Cernak,18,12.0
8479410,Mikhail Sergachev,30,24.0
8479413,Sean Day,15,13.0
8479984,Cal Foote,4,11.666666666666666
8480172,Jan Rutta,8,6.333333333333333
8481060,Dmitry Semykin,0,9.0
8481063,Alexander Green,2,9.0
8482144,Jack Thompson,18,17.0
8474590,John Carlson,44,63.0
8474602,Justin Schultz,27,18.0
8475200,Dmitry Orlov,22,18.666666666666668
8475324,Nick Jensen,14,9.0
8477845,Trevor van Riemsdyk,3,8.333333333333334
8479482,Michal Kempny,1,14.666666666666666
8476931,Jake McCabe,3,10.0
8475177,Calvin de Haan,10,10.0
8476473,Connor Murphy,15,15.666666666666666
8477495,Seth Jones,28,34.666666666666664
8478452,Caleb Jones,4,8.0
8479342,Chad Krys,2,4.666666666666667
8479388,Riley Stillman,3,1.3333333333333333
8480070,Ian Mitchell,1,3.3333333333333335
8480231,Jakub Galvas,2,4.333333333333333
8480293,Wyatt Kalynuk,10,15.666666666666666
8480814,Nicolas Beaudin,1,5.666666666666667
8480831,Alec Regula,4,21.333333333333332
8482192,Isaak Phillips,9,16.333333333333332
8482700,Nolan Allan,5,3.0
8482182,Alex Cotton,3,32.0
8482675,Oscar Plandowski,17,11.0
8482983,Mason Ward,6,11.0
8471686,Marc Staal,10,11.333333333333334
8474873,Brian Lashoff,3,4.0
8475181,Nick Leddy,31,26.0
8476465,Ryan Murphy,27,19.333333333333332
8477215,Danny DeKeyser,12,12.0
8477851,Jordan Oesterle,11,14.666666666666666
8479252,Dan Renouf,3,7.333333333333333
